escenario,minuto,hora,es_hora_pico,nb_conductores,velocidad_media_kmh,pct_ruta_directa,pct_reroutean,pct_metro,modal_shift_acum,recaudacion_acum_usd,nb_restringidos_placa,directo_nse_alto,directo_nse_medio,directo_nse_bajo,metro_nse_alto,metro_nse_medio,metro_nse_bajo,rerouta_nse_alto,rerouta_nse_medio,rerouta_nse_bajo
E0,375,6:15,false,150,19.5,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,390,6:30,false,150,19.5,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,405,6:45,false,150,19.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,420,7:00,true,150,19.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,435,7:15,true,150,19.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,450,7:30,true,150,19.5,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,465,7:45,true,150,19.2,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,480,8:00,true,150,19.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,495,8:15,true,150,19.4,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,510,8:30,true,150,19.4,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,525,8:45,true,150,19.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,540,9:00,true,150,19.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,555,9:15,true,150,19.1,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,570,9:30,true,150,18.9,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,585,9:45,true,150,18.9,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,600,10:00,true,150,19.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,615,10:15,false,150,19.1,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,630,10:30,false,150,18.9,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,645,10:45,false,150,18.7,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,660,11:00,false,150,18.6,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,675,11:15,false,150,18.8,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,690,11:30,false,150,18.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,705,11:45,false,150,18.0,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,720,12:00,false,150,18.2,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,735,12:15,false,150,18.3,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,750,12:30,false,150,18.4,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,765,12:45,false,150,18.5,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,780,13:00,false,150,18.5,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,795,13:15,false,150,18.4,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,810,13:30,false,150,18.6,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,825,13:45,false,150,18.9,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,840,14:00,false,150,18.9,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,855,14:15,false,150,19.0,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
E0,870,14:30,false,150,18.9,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
